run_id,dispatch_day,scenario,datetime,input_P_load_W,input_P_pv_forecast_W,input_price_EUR_MWh,opt_P_grid_in_W,opt_P_grid_out_W,opt_P_ch_W,opt_P_dis_W,opt_P_ch_seg1_W,opt_P_ch_seg2_W,opt_P_dis_seg1_W,opt_P_dis_seg2_W,opt_P_curt_W,opt_u_charging,opt_E_start_Wh,opt_E_end_Wh,opt_E_seg1_start_Wh,opt_E_seg2_start_Wh,opt_E_seg1_end_Wh,opt_E_seg2_end_Wh,opt_revenue_step_eur,opt_cycle_aging_cost_step_eur,opt_revenue_step_after_aging_eur,real_P_pv_W,real_P_curt_W,real_P_grid_in_W,real_P_grid_out_W,real_revenue_step_da_eur,real_grid_fee_step_eur,opt_P_grid_net_W,real_P_grid_net_W,real_imbalance_W,real_imbalance_price_eur_mwh,real_imbalance_energy_mwh,real_rebap_settlement_step_eur,real_revenue_step_eur,real_revenue_step_net_eur,real_revenue_step_net_after_aging_eur
0,2025-07-08,physical,2025-07-08 00:00:00,"337,2343333333339","0,0","107,47","0,0","0,0","0,0","337,2343333333339","0,0","0,0","0,0","337,2343333333339","0,0",0,"6750,0","6661,254122807018","0,0","5250,0","0,0","5161,254122807018","0,0","0,007464681968333346","-0,007464681968333346","0,0","0,0","0,0","-0,0","-0,0","0,0","0,0","0,0","0,0","71,17","0,0","-0,0","0,0","0,0","-0,007464681968333346"
0,2025-07-08,physical,2025-07-08 00:15:00,"178,7980000000006","0,0","99,3","0,0","0,0","0,0","178,7980000000006","0,0","0,0","0,0","178,7980000000006","0,0",0,"6661,254122807018","6614,202017543859","0,0","5161,254122807018","0,0","5114,202017543859","0,0","0,0039576937300000135","-0,0039576937300000135","0,0","0,0","0,0","-0,0","-0,0","0,0","0,0","0,0","0,0","57,44","0,0","-0,0","0,0","0,0","-0,0039576937300000135"
0,2025-07-08,physical,2025-07-08 00:30:00,"248,34433333333396","0,0","89,1","0,0","0,0","0,0","248,34433333333396","0,0","0,0","0,0","248,34433333333396","0,0",0,"6614,202017543859","6548,848245614035","0,0","5114,202017543859","0,0","5048,848245614035","0,0","0,005497101818333348","-0,005497101818333348","0,0","0,0","0,0","-0,0","-0,0","0,0","0,0","0,0","0,0","63,91","0,0","-0,0","0,0","0,0","-0,005497101818333348"
0,2025-07-08,physical,2025-07-08 00:45:00,"299,0860000000006","0,0","82,91","0,0","0,0","0,0","299,0860000000006","0,0","0,0","0,0","299,0860000000006","0,0",0,"6548,848245614035","6470,141403508771","0,0","5048,848245614035","0,0","4970,141403508771","0,0","0,0066202686100000135","-0,0066202686100000135","0,0","0,0","0,0","-0,0","-0,0","0,0","0,0","0,0","0,0","100,58","0,0","-0,0","0,0","0,0","-0,0066202686100000135"
0,2025-07-08,physical,2025-07-08 01:00:00,"155,03733333333392","0,0","102,7","0,0","0,0","0,0","155,03733333333392","0,0","0,0","0,0","155,03733333333392","0,0",0,"6470,141403508771","6429,342105263157","0,0","4970,141403508771","0,0","4929,342105263157","0,0","0,0034317513733333467","-0,0034317513733333467","0,0","0,0","0,0","-0,0","-0,0","0,0","0,0","0,0","0,0","112,1","0,0","-0,0","0,0","0,0","-0,0034317513733333467"
0,2025-07-08,physical,2025-07-08 01:15:00,"252,4973333333339","0,0","87,43","0,0","0,0","0,0","252,4973333333339","0,0","0,0","0,0","252,4973333333339","0,0",0,"6429,342105263157","6362,89543859649","0,0","4929,342105263157","0,0","4862,89543859649","0,0","0,005589028473333347","-0,005589028473333347","0,0","0,0","0,0","-0,0","-0,0","0,0","0,0","0,0","0,0","111,61","0,0","-0,0","0,0","0,0","-0,005589028473333347"
0,2025-07-08,physical,2025-07-08 01:30:00,"356,5853333333339","0,0","87,4","0,0","0,0","0,0","356,5853333333339","0,0","0,0","0,0","356,5853333333339","0,0",0,"6362,89543859649","6269,057192982455","0,0","4862,89543859649","0,0","4769,057192982455","0,0","0,007893016353333346","-0,007893016353333346","0,0","0,0","0,0","-0,0","-0,0","0,0","0,0","0,0","0,0","119,29","0,0","-0,0","0,0","0,0","-0,007893016353333346"
0,2025-07-08,physical,2025-07-08 01:45:00,"239,04950000000085","0,0","81,5","0,0","0,0","0,0","239,04950000000085","0,0","0,0","0,0","239,04950000000085","0,0",0,"6269,057192982455","6206,14942982456","0,0","4769,057192982455","0,0","4706,14942982456","0,0","0,0052913606825000185","-0,0052913606825000185","0,0","0,0","0,0","-0,0","-0,0","0,0","0,0","0,0","0,0","110,82","0,0","-0,0","0,0","0,0","-0,0052913606825000185"
0,2025-07-08,physical,2025-07-08 02:00:00,"302,2856666666673","0,0","77,4","0,0","0,0","0,0","302,2856666666673","0,0","0,0","0,0","302,2856666666673","0,0",0,"6206,14942982456","6126,600570175437","0,0","4706,14942982456","0,0","4626,600570175437","0,0","0,00669109323166668","-0,00669109323166668","0,0","0,0","0,0","-0,0","-0,0","0,0","0,0","0,0","0,0","109,37","0,0","-0,0","0,0","0,0","-0,00669109323166668"
0,2025-07-08,physical,2025-07-08 02:15:00,"279,3873333333339","0,0","92,9","0,0","0,0","0,0","279,3873333333339","0,0","0,0","0,0","279,3873333333339","0,0",0,"6126,600570175437","6053,077587719296","0,0","4626,600570175437","0,0","4553,077587719296","0,0","0,006184238623333347","-0,006184238623333347","0,0","0,0","0,0","-0,0","-0,0","0,0","0,0","0,0","0,0","103,4","0,0","-0,0","0,0","0,0","-0,006184238623333347"
